Jahr_Monat,Jahr,Monat_Nummer,Monat_Name,Standort_Code,Standort_Name,Sprache,Zielgruppe,Kategorie,Projekt,Anzahl_Veranstaltungen
"2026-08",2026,8,"August","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",1
"2026-09",2026,9,"September","koepenick","Köpenick","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",17
"2026-09",2026,9,"September","online","Online / Digital","Polnisch / Deutsch","Alle Interessierten","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",1
"2026-09",2026,9,"September","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",6
"2026-09",2026,9,"September","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",12
"2026-09",2026,9,"September","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Sprachpraxis & Tandem","Regulärer Vereinsbetrieb",4
"2026-09",2026,9,"September","schoeneberg","Schöneberg","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",15
"2026-09",2026,9,"September","schoeneberg","Schöneberg","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",2
"2026-10",2026,10,"Oktober","koepenick","Köpenick","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",22
"2026-10",2026,10,"Oktober","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Sprachpraxis & Tandem","Regulärer Vereinsbetrieb",3
"2026-10",2026,10,"Oktober","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",16
"2026-10",2026,10,"Oktober","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",6
"2026-10",2026,10,"Oktober","schoeneberg","Schöneberg","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",19
"2026-10",2026,10,"Oktober","schoeneberg","Schöneberg","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",1
"2026-11",2026,11,"November","koepenick","Köpenick","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",20
"2026-11",2026,11,"November","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",6
"2026-11",2026,11,"November","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",13
"2026-11",2026,11,"November","pankow","Pankow (Schulzestraße / Stadtteilzentrum)","Polnisch / Deutsch","Erwachsene & Familien","Sprachpraxis & Tandem","Regulärer Vereinsbetrieb",3
"2026-11",2026,11,"November","schoeneberg","Schöneberg","Polnisch / Deutsch","Kinder & Eltern","Kinder & Familie","Regulärer Vereinsbetrieb",16
"2026-11",2026,11,"November","schoeneberg","Schöneberg","Polnisch / Deutsch","Erwachsene & Familien","Kunst, Kultur & Literatur","Regulärer Vereinsbetrieb",1
