Kategorie;Autor;Titel;Erscheinungsjahr;Autor2;ISBN
Auf Deutsch;Legman G.;Intime Küsse;1988;Carl Stephenson Verlag;
Belytrystyka polska;Andrzejewski Jerzy;Miazga;1981;PULS;907587712
Belytrystyka polska;Bartkowska Ewa;Ja, judaszka;2014;JanKa;978-83-62247-34-9
Belytrystyka polska;Bartuszek Anna Katarzyna;Z widokiem na Mont Blanc;2012;radwan;
Belytrystyka polska;Bieńkowski Dawid;Biało-czerwony;2007;W.A.B.;978-83-7414-349-3
Belytrystyka polska;Bieńkowski Dawid;Nic;2005;WAB;
Belytrystyka polska;Cegielski Max;Prince Polonia;2020;Wydawnictwo Marginsey;978-83-66500-32-7
Belytrystyka polska;Chwin Stefan;Hanemann;1996;Marabut;83-85893-55-5
Belytrystyka polska;Cieplak Anna;Ma być czysto;2016;Wydawnictwo Krytyki Politycznej;978-83-65369-31-4
Belytrystyka polska;Cygler Hanna;Złodziejki czasu;2015;Rebis;978-83-7818-663-2
Belytrystyka polska;Dehnel Jacek;Matka Makryna;2014;WAB;978-83-280-0928-8
Belytrystyka polska;Dunin Kinga;Karoca z dyni;2000;Sic!;83-86056-84-3
Belytrystyka polska;Franczak Jerzy;Szmermele;2004;Stowarzyszenie Twórcze Artystyczno-Literackie;83-88527-65-7
Belytrystyka polska;Gargaś Gabriela;Wieczór taki jak ten;2017;Wydawnictwo Poznańskie;978-83-67461-46-7
Belytrystyka polska;Gębski Ireneusz;W cieniu Sheratona;2011;Warszawska Firma Wydawnicza;978-83-7805-089-6
Belytrystyka polska;Gogol Mikołaj;Martwe dusze;2014;Znak;978-83-240-3127-6
Belytrystyka polska;Górska Olga;Nie wszyscy pójdziemy do raju;2022;Drzazgi;978-83-964696-0-1
Belytrystyka polska;Gretkowska Manuela, Pietrucha Piotr;Sceny z życia pozamałżeńskiego;2003;W.A.B;83-89291-21-5
Belytrystyka polska;Gretkowska Manuela;Europejka;2012;W.A.B.;978-83-7747-777-9
Belytrystyka polska;Gretkowska Manuela;Na linii świata;2017;Znak;978-83-240-3752-0
Belytrystyka polska;Grochola Katarzyna;Osobowość ćmy;2005;Wydawnictwo Autorskie Katarzyna Grochola;83-922-240-1-9
Belytrystyka polska;Grzesiuk Stanisław;Klawo, jadziem!;2019;Prószyński i S-ka;978-83-8169-005-8
Belytrystyka polska;Helbig Brygida;Enerdowce i inne ludzie;2014;FORMA;978-83-63316-11-2
Belytrystyka polska;Hłasko Marek;Piękni dwudziestoletni;1988;ALFA;83-7001-248-5
Belytrystyka polska;Huelle Paweł;Pierwsza miłość i inne opowiadania;1996;Puls Publications;1859170617
Belytrystyka polska;Jarecka Jola;Historie wysiedlone;2015;Towarzystwo Słowaków w Polsce;978-83-7490-874-0
